"Step","train/rewards/rejected","./SMOL_DPO_ALPHA_DIVERGENCE - train/rewards/rejected__MIN","./SMOL_DPO_ALPHA_DIVERGENCE - train/rewards/rejected__MAX"
"252","-0.7882561087608337","-0.7882561087608337","-0.7882561087608337"
"253","-0.919953465461731","-0.919953465461731","-0.919953465461731"
"254","-0.9549800157546997","-0.9549800157546997","-0.9549800157546997"
"255","-0.8840924501419067","-0.8840924501419067","-0.8840924501419067"
"256","-0.7988333702087402","-0.7988333702087402","-0.7988333702087402"
"257","-1.1001181602478027","-1.1001181602478027","-1.1001181602478027"
"258","-0.8924628496170044","-0.8924628496170044","-0.8924628496170044"
"259","-0.8970270752906799","-0.8970270752906799","-0.8970270752906799"
"260","-0.9581062197685242","-0.9581062197685242","-0.9581062197685242"
"261","-0.9231859445571899","-0.9231859445571899","-0.9231859445571899"
"262","-0.717788815498352","-0.717788815498352","-0.717788815498352"
"263","-1.365174651145935","-1.365174651145935","-1.365174651145935"
"264","-0.926087498664856","-0.926087498664856","-0.926087498664856"
"265","-0.6234751343727112","-0.6234751343727112","-0.6234751343727112"
"266","-0.8429520130157471","-0.8429520130157471","-0.8429520130157471"
"267","-1.0529412031173706","-1.0529412031173706","-1.0529412031173706"
"268","-0.9226345419883728","-0.9226345419883728","-0.9226345419883728"
"269","-1.0198607444763184","-1.0198607444763184","-1.0198607444763184"
"270","-1.1754271984100342","-1.1754271984100342","-1.1754271984100342"
"271","-0.8440165519714355","-0.8440165519714355","-0.8440165519714355"
"272","-0.8177453279495239","-0.8177453279495239","-0.8177453279495239"
"273","-1.318375587463379","-1.318375587463379","-1.318375587463379"
"274","-1.1230196952819824","-1.1230196952819824","-1.1230196952819824"
"275","-0.5465775728225708","-0.5465775728225708","-0.5465775728225708"
"276","-1.044896125793457","-1.044896125793457","-1.044896125793457"
"277","-0.8713811039924622","-0.8713811039924622","-0.8713811039924622"
"278","-1.0694900751113892","-1.0694900751113892","-1.0694900751113892"
"279","-1.2091883420944214","-1.2091883420944214","-1.2091883420944214"
"280","-1.082167387008667","-1.082167387008667","-1.082167387008667"
"281","-0.998865008354187","-0.998865008354187","-0.998865008354187"
"282","-0.8582404851913452","-0.8582404851913452","-0.8582404851913452"
"283","-1.0152359008789062","-1.0152359008789062","-1.0152359008789062"
"284","-0.9790870547294617","-0.9790870547294617","-0.9790870547294617"
"285","-1.0169570446014404","-1.0169570446014404","-1.0169570446014404"
"286","-0.9584028720855713","-0.9584028720855713","-0.9584028720855713"
"287","-1.413803219795227","-1.413803219795227","-1.413803219795227"
"288","-0.8533558249473572","-0.8533558249473572","-0.8533558249473572"
"289","-1.1193640232086182","-1.1193640232086182","-1.1193640232086182"
"290","-1.1841380596160889","-1.1841380596160889","-1.1841380596160889"
"291","-0.8411067128181458","-0.8411067128181458","-0.8411067128181458"
"292","-1.132150650024414","-1.132150650024414","-1.132150650024414"
"293","-0.8835238218307495","-0.8835238218307495","-0.8835238218307495"
"294","-0.7824105024337769","-0.7824105024337769","-0.7824105024337769"
"295","-1.1053154468536377","-1.1053154468536377","-1.1053154468536377"
"296","-1.3813278675079346","-1.3813278675079346","-1.3813278675079346"
"297","-0.7540518045425415","-0.7540518045425415","-0.7540518045425415"
"298","-1.1180124282836914","-1.1180124282836914","-1.1180124282836914"
"299","-1.0950849056243896","-1.0950849056243896","-1.0950849056243896"
"300","-1.002236008644104","-1.002236008644104","-1.002236008644104"
"301","-1.1062655448913574","-1.1062655448913574","-1.1062655448913574"
"302","-1.2118887901306152","-1.2118887901306152","-1.2118887901306152"
"303","-1.051581859588623","-1.051581859588623","-1.051581859588623"
"304","-0.6802777647972107","-0.6802777647972107","-0.6802777647972107"
"305","-0.8775727152824402","-0.8775727152824402","-0.8775727152824402"
"306","-1.0318745374679565","-1.0318745374679565","-1.0318745374679565"
"307","-1.2300329208374023","-1.2300329208374023","-1.2300329208374023"
"308","-1.2798349857330322","-1.2798349857330322","-1.2798349857330322"
"309","-1.0276851654052734","-1.0276851654052734","-1.0276851654052734"
"310","-1.1236094236373901","-1.1236094236373901","-1.1236094236373901"
"311","-0.9041661620140076","-0.9041661620140076","-0.9041661620140076"
"312","-0.963738739490509","-0.963738739490509","-0.963738739490509"
"313","-1.1869654655456543","-1.1869654655456543","-1.1869654655456543"
"314","-1.2605634927749634","-1.2605634927749634","-1.2605634927749634"
"315","-1.1320335865020752","-1.1320335865020752","-1.1320335865020752"
"316","-0.9902201890945435","-0.9902201890945435","-0.9902201890945435"
"317","-0.8283824920654297","-0.8283824920654297","-0.8283824920654297"
"318","-1.2037599086761475","-1.2037599086761475","-1.2037599086761475"
"319","-1.2432043552398682","-1.2432043552398682","-1.2432043552398682"
"320","-0.9440045356750488","-0.9440045356750488","-0.9440045356750488"
"321","-0.926671028137207","-0.926671028137207","-0.926671028137207"
"322","-0.9754649996757507","-0.9754649996757507","-0.9754649996757507"
"323","-0.7565211653709412","-0.7565211653709412","-0.7565211653709412"
"324","-1.1208829879760742","-1.1208829879760742","-1.1208829879760742"
"325","-1.124559760093689","-1.124559760093689","-1.124559760093689"
"326","-1.1384069919586182","-1.1384069919586182","-1.1384069919586182"
"327","-1.3933825492858887","-1.3933825492858887","-1.3933825492858887"
"328","-0.9832592010498047","-0.9832592010498047","-0.9832592010498047"
"329","-0.8956438302993774","-0.8956438302993774","-0.8956438302993774"
"330","-0.817327082157135","-0.817327082157135","-0.817327082157135"
"331","-1.08641517162323","-1.08641517162323","-1.08641517162323"
"332","-0.8166306018829346","-0.8166306018829346","-0.8166306018829346"
"333","-1.135237216949463","-1.135237216949463","-1.135237216949463"
"334","-1.231323480606079","-1.231323480606079","-1.231323480606079"
"335","-0.9614996910095215","-0.9614996910095215","-0.9614996910095215"
"336","-0.9432103037834167","-0.9432103037834167","-0.9432103037834167"
"337","-1.0373497009277344","-1.0373497009277344","-1.0373497009277344"
"338","-1.0575454235076904","-1.0575454235076904","-1.0575454235076904"
"339","-1.4759663343429565","-1.4759663343429565","-1.4759663343429565"
"340","-1.0595929622650146","-1.0595929622650146","-1.0595929622650146"
"341","-0.925992488861084","-0.925992488861084","-0.925992488861084"
"342","-1.1862916946411133","-1.1862916946411133","-1.1862916946411133"
"343","-0.9384396076202393","-0.9384396076202393","-0.9384396076202393"
